Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
665,minyak kelapa,3607,0.0,100.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
666,minyak kelapa sawit,3607,0.0,100.0,0.0,0.0,1.6,0.0,5000.0,4.0,0.01,0.02,0.0,0,0.0,0,0,6,0.0,7,0.0,0.0
667,minyak sayur (indomie dll),3607,0.0,100.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
668,minyak wijen,3699,0.0,100.0,0.0,0.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
669,santan,297,0.7,6.7,3.0,1.8,0.1,0.0,0.0,0.0,0.01,0.0,0.01,5,1.0,4,71,3,6.0,23,0.5,0.2
670,agar agar 1 with coconut milk,644,2.5,6.0,25.5,2.7,0.1,0.0,12.0,1.0,0.06,0.16,0.04,184,13.0,240,176,295,126.0,97,3.5,1.4
671,agar agar 2 without coconut milk,406,1.9,0.6,23.1,1.3,0.0,0.0,12.0,1.0,0.05,0.15,0.03,180,13.0,236,119,293,121.0,79,3.1,1.2
672,agar inaco with coconut milk,1222,2.5,22.0,25.5,2.7,0.4,0.0,12.0,1.0,0.06,0.16,0.04,184,13.0,240,176,295,126.0,97,3.5,1.4
673,dhelco coklat stick,92,0.3,0.9,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,13,1,4.0,6,0.1,0.1
674,es mambo/es lilin,293,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
675,gula aren,1544,0.6,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,38,335,377,22.0,110,1.8,0.3
676,gula batu,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
677,gula kelapa,1460,2.3,0.1,84.7,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,1,0.0,34,301,1252,1.0,372,1.7,0.2
678,gula merah tebu belum dimurnikan,1573,0.0,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,39,346,85,29.0,22,1.9,0.2
679,gula pasir,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
680,gula supra,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
681,kethak + gula,929,1.0,10.1,34.6,2.7,0.1,0.0,0.0,0.0,0.02,0.02,0.02,8,1.0,6,108,4,10.0,35,0.7,0.3
682,madu,1272,0.3,0.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,2,1.0,4,52,6,2.0,4,0.4,0.2
683,meises,1996,4.2,29.7,63.4,0.0,1.0,0.0,2.0,1.0,0.06,0.09,0.07,10,0.0,11,365,32,115.0,132,3.1,1.6
684,miki jelly,644,2.5,6.0,25.5,2.7,0.1,0.0,12.0,1.0,0.06,0.16,0.04,184,13.0,240,176,295,126.0,97,3.5,1.4
685,mutiara,1460,2.3,0.1,84.7,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,1,0.0,34,301,1252,1.0,372,1.7,0.2
686,permen,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
687,setrup / sirup,895,0.0,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,1,0.0,22,197,48,17.0,13,1.1,0.1
688,tebu,109,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,24,6,2.0,2,0.1,0.0
689,adonan kopi + gula pasir,1494,1.6,0.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,49,578,49,64.0,50,1.7,0.0
690,air gula - belu,33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
691,teh manis belu,54,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,20,2,2.0,1,0.0,0.0
692,daun cincau,138,2.5,0.5,5.3,3.5,0.3,0.0,83.0,0.0,0.13,0.08,0.1,140,10.0,23,395,48,23.0,50,1.3,0.5
693,gula kopi,1494,1.6,0.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,49,578,49,64.0,50,1.7,0.0
694,jamu,4,0.1,0.0,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,0.0,0,8,1,0.0,1,0.0,0.0
695,jus alpukat susu,397,1.3,4.8,13.0,1.5,0.5,4.0,15.0,0.0,0.04,0.07,0.09,17,2.0,16,185,32,13.0,33,0.3,0.2
696,jus anggur,222,0.1,0.1,13.8,0.7,0.0,0.0,1.0,0.0,0.01,0.0,0.01,1,2.0,0,29,2,1.0,2,0.1,0.0
697,jus jeruk pepaya,213,0.2,0.0,13.0,0.6,0.0,0.0,34.0,0.0,0.01,0.01,0.01,11,18.0,1,74,8,3.0,2,0.0,0.0
698,jus jeruk peras,347,0.2,0.1,21.8,0.6,0.0,0.0,1.0,0.0,0.01,0.01,0.02,2,11.0,1,28,5,2.0,4,0.1,0.0
699,jus mannga,230,0.1,0.1,14.2,0.5,0.0,0.0,100.0,0.0,0.02,0.02,0.03,4,9.0,1,39,3,2.0,3,0.0,0.0
700,jus melon,197,0.2,0.1,12.1,0.2,0.0,0.0,81.0,0.0,0.01,0.01,0.03,4,11.0,2,77,3,3.0,4,0.1,0.1
701,jus papaya,201,0.2,0.0,12.4,0.5,0.0,0.0,34.0,0.0,0.01,0.01,0.01,10,16.0,1,64,6,3.0,1,0.0,0.0
702,kopi (powder),540,6.5,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,194,2322,194,258.0,194,6.5,0.0
703,kopi bagian yang larut,837,10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,300,3600,300,400.0,300,10.0,0.0
704,larutan gula and salt,79,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
705,larutan oralit,79,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
706,legen aren,155,0.1,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,34,37,2.0,11,0.1,0.0
707,legen kelapa,146,0.2,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,30,125,0.0,37,0.2,0.0
708,lemonade,176,0.1,0.0,10.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1,5.0,0,14,3,1.0,2,0.1,0.0
709,minuman anggur,293,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1,0.0,8,89,8,10.0,14,0.4,0.1
710,minuman buah vita,243,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
711,minuman go go strawbery,243,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
712,sprite fanta coca cola dll,172,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,1,3,1.0,12,0.0,0.0
713,susu milo/ milo choklat,1619,10.8,9.5,65.8,0.0,0.2,13.0,610.0,2.0,0.15,0.31,0.15,21,99.0,160,486,385,35.0,301,4.0,1.8
714,susu sgm (belu),79,0.9,0.8,2.1,0.0,0.0,1.0,17.0,0.0,0.01,0.02,0.01,2,1.0,13,39,31,3.0,24,0.3,0.1
715,teh,209,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150,1000,100,100.0,50,0.0,0.0
716,teh cap bunga mawar,209,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150,1000,100,100.0,50,0.0,0.0
717,teh kotak,209,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150,1000,100,100.0,50,0.0,0.0
718,teh kotak,209,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150,1000,100,100.0,50,0.0,0.0
719,teh manis,54,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,20,2,2.0,1,0.0,0.0
720,aci tusuk,1519,5.3,20.5,39.2,1.5,11.8,0.0,0.0,1.0,0.05,0.02,0.03,11,1.0,1,70,10,12.0,58,0.6,0.4
721,agar-agar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
722,arafik,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
723,bakpau daging,1042,9.8,6.7,36.3,2.0,0.7,13.0,0.0,0.0,0.09,0.08,0.08,23,0.0,434,128,8,22.0,102,0.6,1.2
724,bakso daging sapi,1548,23.5,29.9,0.1,0.0,1.2,104.0,10.0,0.0,0.07,0.16,0.31,8,0.0,55,318,6,21.0,187,1.6,3.8
725,baso,1548,23.5,29.9,0.1,0.0,1.2,104.0,10.0,0.0,0.07,0.16,0.31,8,0.0,55,318,6,21.0,187,1.6,3.8
726,baso goreng,1720,22.2,35.2,0.0,0.0,5.2,95.0,8.0,1.0,0.07,0.15,0.29,7,0.0,51,300,6,20.0,176,1.5,3.6
727,baso kojak,812,5.9,1.4,38.4,1.4,0.2,3.0,4.0,0.0,0.06,0.03,0.03,10,1.0,3,74,8,12.0,61,0.7,0.5
728,batagor,636,12.1,11.3,1.4,0.9,2.3,22.0,0.0,0.0,0.08,0.07,0.12,13,0.0,18,173,80,83.0,120,4.5,1.6
729,bawang goreng,1519,5.3,20.5,39.2,1.5,11.8,0.0,0.0,1.0,0.05,0.02,0.03,11,1.0,1,70,10,12.0,58,0.6,0.4
730,bika ambon,1071,7.8,8.0,38.9,3.8,0.6,398.0,1901.0,6.0,0.15,0.33,0.39,63,28.0,78,511,61,32.0,167,2.5,1.0
731,biscuit,2121,10.4,17.5,78.0,1.2,6.2,25.0,99.0,1.0,0.12,0.33,0.13,19,2.0,101,302,215,30.0,216,0.8,1.0
732,biscuit astor,1870,7.5,14.0,73.7,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
733,biscuit barry sandwich,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
734,biscuit big royal,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
735,biscuit big royal,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
736,biscuit bola bola,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
737,biscuit coklat burbon,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
738,biscuit coklat togo,1280,6.2,2.6,63.8,1.6,1.4,0.0,0.0,0.0,0.06,0.03,0.02,11,0.0,1,65,9,13.0,65,0.7,0.4
739,biscuit crackers konghuan,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
740,biscuit cripsy crackers,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
741,biscuit famela,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
742,biscuit farley,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
743,biscuit gabin special selecta (mentega.,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
744,biscuit gem bunga (terigu. gula. tapiok,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
745,biscuit gloria,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
746,biscuit helti,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
747,biscuit interbis,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
748,biscuit isi kagang,2067,14.0,24.3,57.7,3.3,8.8,13.0,50.0,3.0,0.14,0.2,0.14,45,1.0,55,351,133,62.0,226,1.8,1.5
749,biscuit kacang,2067,14.0,24.3,57.7,3.3,8.8,13.0,50.0,3.0,0.14,0.2,0.14,45,1.0,55,351,133,62.0,226,1.8,1.5
750,biscuit kering/ bolu kering,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
751,biscuit london,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
752,biscuit malkist crackers (tepung terigu,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
753,biscuit marie cba (tepung terigu. gula.,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
754,biscuit marie susu,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
755,biscuit mari-mari (tepung jagung. tepun,1490,3.2,3.4,80.7,2.9,1.8,0.0,0.0,1.0,0.16,0.09,0.12,10,0.0,15,116,3,51.0,97,1.5,0.7
756,biscuit mentega rp. 100,2092,7.5,23.0,66.6,1.2,11.3,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
757,biscuit milna,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
758,biscuit monde,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
759,biscuit panda-pandaan/bolu pangang,1075,9.6,10.5,30.1,1.4,0.5,26.0,200.0,0.0,0.07,0.08,0.18,12,2.0,23,179,10,22.0,100,0.9,1.6
760,biscuit permen,3799,7.5,64.0,78.6,1.2,35.0,13.0,50.0,4.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
761,biscuit piramid,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
762,biscuit queen sandwich (terigu. gula. m,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
763,biscuit regal,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
764,biscuit regal marie,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
765,biscuit roma,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
766,biscuit sitaba,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
767,biscuit stick,1803,7.5,10.0,78.6,1.2,3.7,13.0,50.0,0.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
768,tempe goreng,1481,17.1,26.9,15.3,1.3,9.8,0.0,1.0,2.0,0.12,0.1,0.27,47,0.0,5,330,84,63.0,185,2.1,1.6
769,tempe bacem,992,10.8,15.0,17.6,1.0,8.6,0.0,0.0,1.0,0.08,0.07,0.14,27,0.0,5,195,79,69.0,121,3.1,1.0
770,tempe oreg/sayur tempe/sambal tempe,418,9.6,3.9,8.6,0.8,2.2,0.0,16.0,1.0,0.07,0.06,0.16,30,1.0,4,194,50,36.0,105,1.2,0.9
771,biscuit sun,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
772,biscuit susana,1870,7.5,14.0,73.6,1.2,6.1,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
773,biscuit tini wini biti,2335,5.9,38.4,51.0,3.6,20.0,0.0,0.0,5.0,0.21,0.12,0.66,45,8.0,656,1008,24,58.0,157,1.5,0.6
774,ubi goreng,774,1.2,2.6,40.8,1.9,0.1,0.0,5.0,0.0,0.11,0.02,0.25,14,25.0,3,229,17,11.0,67,0.9,0.3
775,brondong,2247,6.5,30.9,61.5,5.8,17.5,0.0,0.0,2.0,0.31,0.16,0.24,20,0.0,28,230,5,102.0,193,2.8,1.4
776,uli goreng,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
777,uli kukus,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
778,wafer coklat kero-kero rp.50 (terigu. g,1280,6.2,2.6,63.8,1.6,1.4,0.0,0.0,0.0,0.06,0.03,0.02,11,0.0,1,65,9,13.0,65,0.7,0.4
779,wafer,1280,6.2,2.6,63.8,1.6,1.4,0.0,0.0,0.0,0.06,0.03,0.02,11,0.0,1,65,9,13.0,65,0.7,0.4
780,vetsin,1439,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13464,0,0,0.0,0,0.0,0.0
781,wafer coklat pyramid,1280,6.2,2.6,63.8,1.6,1.4,0.0,0.0,0.0,0.06,0.03,0.02,11,0.0,1,65,9,13.0,65,0.7,0.4
782,buah pala,1092,3.9,3.2,79.8,54.3,0.5,0.0,26.0,1.0,0.08,0.14,1.0,223,28.0,26,500,1228,56.0,61,38.1,2.0
783,vanilli,293,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1,0.0,8,89,8,10.0,14,0.4,0.1
784,wafer interbis,1280,6.2,2.6,63.8,1.6,1.4,0.0,0.0,0.0,0.06,0.03,0.02,11,0.0,1,65,9,13.0,65,0.7,0.4
785,wajik,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
786,wingka/wingko,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
787,bumbu sari mie indomie dll,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
788,cake,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
789,cake wanderpan,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
790,camel roll stick,92,0.3,0.9,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,13,1,4.0,6,0.1,0.1
791,candy mentos mint,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
792,cantel,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
793,cendil/ondal-andil/cendol,318,0.1,0.0,18.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,1,0,1.0,3,0.1,0.0
794,cheetos,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
795,chiki,2134,5.9,25.5,62.9,0.9,14.7,0.0,0.0,2.0,0.05,0.04,0.1,6,0.0,0,68,8,27.0,83,0.5,0.8
796,chiki balls/ boom snack/ guntar snack,2134,5.9,25.5,62.9,0.9,14.7,0.0,0.0,2.0,0.05,0.04,0.1,6,0.0,0,68,8,27.0,83,0.5,0.8
797,choki choki,92,0.3,0.9,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,13,1,4.0,6,0.1,0.1
798,choklat,1996,4.2,29.7,63.4,0.0,1.0,0.0,2.0,1.0,0.06,0.09,0.07,10,0.0,11,365,32,115.0,132,3.1,1.6
799,choklat eclair,1230,8.3,5.7,53.1,2.5,0.7,0.0,0.0,0.0,0.11,0.08,0.04,29,0.0,549,138,12,36.0,108,0.8,1.0
800,choklat jelly,92,0.3,0.9,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,13,1,4.0,6,0.1,0.1
801,cilok,1071,7.8,8.0,38.9,3.8,0.6,398.0,1901.0,6.0,0.15,0.33,0.39,63,28.0,78,511,61,32.0,167,2.5,1.0
802,cincau,4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,20,2,2.0,1,0.0,0.0
803,cingloy,908,7.8,8.0,28.9,3.8,0.6,398.0,1901.0,6.0,0.15,0.33,0.39,63,28.0,78,511,61,32.0,167,2.4,1.0
804,cireng,1519,5.3,20.5,39.2,1.5,11.8,0.0,0.0,1.0,0.05,0.02,0.03,11,1.0,1,70,10,12.0,58,0.6,0.4
805,cireng/bakwan,2259,5.3,40.5,39.2,1.5,23.4,0.0,0.0,2.0,0.05,0.02,0.03,11,1.0,1,70,10,12.0,58,0.6,0.4
806,coconut milk with kluwih muda belu,364,0.9,3.5,15.1,3.4,0.1,0.0,2.0,1.0,0.05,0.02,0.16,8,15.0,3,281,10,16.0,26,0.5,0.2
807,coklat,1996,4.2,29.7,63.4,0.0,1.0,0.0,2.0,1.0,0.06,0.09,0.07,10,0.0,11,365,32,115.0,132,3.1,1.6
808,coklat beng beng,2092,7.5,23.0,66.6,1.2,11.3,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
809,coklat cha-cha,2092,7.5,23.0,66.6,1.2,11.3,13.0,50.0,1.0,0.08,0.18,0.07,14,1.0,51,175,111,20.0,132,0.7,0.7
810,corn bose and kacang tanah,661,6.7,12.0,8.5,2.5,3.8,0.0,0.0,2.0,0.08,0.04,0.08,32,0.0,6,186,22,48.0,105,1.3,0.9
811,cucur,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
812,daging ayam goreng,1389,26.2,23.1,3.7,0.9,4.1,75.0,37.0,0.0,0.11,0.24,0.25,5,0.0,70,196,14,26.0,184,1.5,1.9
813,daging babi goreng,1264,26.2,21.3,0.0,0.0,1.5,86.0,2.0,0.0,0.73,0.31,0.37,6,0.0,59,336,24,23.0,220,1.0,2.8
814,daging sapi rebus,1879,23.8,29.8,22.2,2.3,1.2,83.0,8.0,0.0,0.11,0.23,0.86,24,9.0,49,688,10,48.0,198,1.8,3.9
815,daging telur,1121,18.4,20.8,0.6,0.0,1.3,256.0,95.0,1.0,0.07,0.33,0.22,25,0.0,88,227,27,16.0,180,1.4,2.5
816,dodol garut,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
817,dodol mannga,757,2.1,4.2,34.1,1.5,0.1,0.0,44.0,0.0,0.03,0.02,0.05,6,4.0,3,80,5,14.0,40,0.4,0.4
818,dodongkal,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
819,donat,1674,5.2,21.8,46.3,1.0,11.9,36.0,24.0,1.0,0.05,0.09,0.03,11,0.0,20,71,28,10.0,68,0.6,0.4
820,donat,1674,5.2,21.8,46.3,1.0,11.9,36.0,24.0,1.0,0.05,0.09,0.03,11,0.0,20,71,28,10.0,68,0.6,0.4
821,emping melinjo mentah,1389,15.4,2.0,64.5,14.9,1.2,0.0,5.0,4.0,0.64,0.15,0.06,48,0.0,5,1368,163,210.0,626,3.5,0.3
822,empon,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
823,es cuwing,234,2.9,0.2,12.5,0.2,0.1,0.0,260.0,1.0,0.05,0.23,0.08,90,20.0,24,178,35,1.0,29,0.9,0.6
824,es dawet/cendol,126,0.1,0.7,6.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,7,0,1.0,3,0.1,0.0
825,es krim solo,820,3.2,9.9,24.8,0.0,0.3,29.0,111.0,0.0,0.04,0.17,0.06,6,1.0,72,141,116,11.0,93,0.1,0.4
826,es krim walls,820,3.2,9.9,24.8,0.0,0.3,29.0,111.0,0.0,0.04,0.17,0.06,6,1.0,72,141,116,11.0,93,0.1,0.4
827,es miami,163,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
828,es nong nong,201,0.6,1.2,9.1,0.7,0.1,0.0,3.0,0.0,0.03,0.01,0.02,2,0.0,3,28,1,9.0,18,0.3,0.1
829,fruittella,1456,0.0,0.0,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
830,fuji mie/mi instan/tiga putra,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
